Complexity,Loss,Equation
1,0.09768011,"0.23775001"
3,0.04852025,"(0.18076214 * T)"
5,0.029425973,"((0.04411573 * H) * T)"
7,0.026211055,"((0.03353588 * (H + 1.6903341)) * T)"
9,0.017167171,"((0.23703654 / (T + B)) * (T * H))"
11,0.013537045,"(T / ((((T + B) / H) / 0.35720417) - -1.1290523))"
13,0.009091483,"(T / (((3.8082335 + (B * 3.8082335)) / H) - (-0.529132 * T)))"
15,0.008955956,"(T / (((3.8082335 + (B * 3.8082335)) / (H + -0.14938387)) - (-0.5116875 * T)))"
17,0.008177993,"(T / ((((((-0.78927773 / -0.058220297) / H) * B) + H) / H) - (-0.5116875 * T)))"
19,0.007796617,"(T / (((((((-0.53488344 / -0.058220297) / H) + 1.1330295) * B) + H) / H) - (-0.5116875 * T)))"
21,0.0077884216,"(T / (((((((-0.53488344 / -0.058220297) / H) + 1.1330295) * B) + H) / H) - (-0.5116875 * (T + -0.028439911))))"
23,0.007739729,"(T / ((((((((B + H) + T) - (-1.9281895 - 2.5203435)) * B) / H) + H) / H) - (-0.5116875 * T)))"
25,0.007684309,"(T / ((((((T - (-1.8953294 / 0.23573034)) * B) / H) + H) / H) - (-0.5116875 * (T + (0.39535084 * (B + -0.36474717))))))"
