Complexity,Loss,Equation
1,0.16265273,"-0.25608876"
3,0.11165995,"(-0.17738545 * T)"
5,0.070611686,"((-0.05248821 * T) * H)"
7,0.07010737,"(-0.050262447 * ((T * H) - -0.55849135))"
9,0.05368861,"(((-0.2754885 / (T + B)) * T) * H)"
11,0.047533527,"(((-0.34982198 / ((T + B) + B)) * T) * H)"
13,0.04272716,"(-0.050262447 * (((0.10943921 / ((2.246123 - H) + 1.3913068)) + H) * T))"
15,0.042565797,"(-0.050262447 * (((0.09818313 / ((2.246123 - (H - -0.0012503545)) + 1.3913068)) + H) * T))"
17,0.0383861,"(-0.050262447 * ((((0.10383704 / ((2.246123 - H) + 1.3913068)) + H) * T) + (2.246123 - B)))"
19,0.036980744,"(-0.050262447 * (((((0.10383704 / ((2.246123 - H) + 1.3913068)) + H) * T) + (1.3913068 - B)) + 1.7329321))"
21,0.033158347,"(-0.050262447 * ((((((0.15671977 / ((2.246123 - H) + 1.3913068)) + H) / (1.0052642 + B)) + H) * T) * 0.7270129))"
23,0.0322304,"(-0.050262447 * ((((((0.15671977 / ((2.246123 - H) + 1.3913068)) + H) / (1.0641543 + (H * B))) + H) * T) * 0.77679074))"
25,0.031484835,"(-0.050262447 * (((((((0.15671977 / ((2.246123 - H) + 1.3913068)) + H) / (1.0052642 + (H * B))) + H) * T) * 0.7270129) + 0.82939494))"
