Complexity,Loss,Equation
1,0.18091384,"-0.3764314"
3,0.060183913,"(-0.11284516 * A)"
5,0.057823457,"((-0.12675665 * A) + 0.07968753)"
7,0.036490615,"(-0.1538869 * (A + (-0.37706813 * B)))"
9,0.016268682,"((B / ((B + A) / 2.1801229)) + -1.5728518)"
11,0.015253416,"((-0.1503934 * A) / ((A * 0.09889987) + (B / A)))"
13,0.012109118,"(((0.42621624 * B) - A) / ((0.78733706 * A) + (B / A)))"
15,0.009075734,"((((0.42621624 * B) - A) * 1.430868) / (A + (B / (A * 0.42621624))))"
17,0.008345497,"((-0.6991264 * ((0.570389 - B) + (A + A))) / (A + ((B / 0.4281956) / A)))"
19,0.007875512,"((-0.68579054 * ((A - (B + -0.7636209)) + A)) / (A + ((B + B) / (A + -0.48470646))))"
21,0.0078027504,"((-0.68579054 * ((A - (B - 0.72710127)) + A)) / (A + (((B + B) + -0.1282492) / (A + -0.48470646))))"
23,0.007721702,"((-0.64773643 * (0.72025687 + (A + (A - B)))) / (A + (((((B / A) / 0.26011443) + B) - 0.7529818) / A)))"
25,0.007706253,"((-0.64773643 * (0.72025687 + (A + (A - B)))) / (A + (((((B / (A + 0.09751866)) / 0.26011443) + B) - 0.7529818) / A)))"
