Complexity,Loss,Equation
1,0.16574584,"0.38138434"
3,0.05641206,"(A * 0.12056413)"
5,0.03519932,"(A / (5.1590934 + B))"
7,0.0316514,"(0.16626027 * (A - (0.3685938 * B)))"
9,0.018817386,"(((A / 0.46726993) - B) / (4.386291 + A))"
11,0.016678957,"((((A + A) + 0.49919412) - B) / (4.3862853 + A))"
13,0.016667645,"((((A + (A / 1.0183456)) - -0.53014165) - B) / (4.386291 + A))"
15,0.015976349,"((((A + A) + 0.57231456) - B) / ((3.7959733 + A) + (B / A)))"
17,0.013048243,"(((((A + A) + (-0.212975 / (B - 0.071297504))) - -0.53014165) - B) / (4.386291 + A))"
19,0.012904941,"(((((A + A) + (-0.212975 / (B - 0.071297504))) - -0.53014165) - B) / ((4.386291 + A) * 1.0251346))"
21,0.012826581,"((((((A + A) + (-0.212975 / (B - 0.071297504))) + 0.04669769) - -0.53014165) - B) / ((4.386291 + A) * 1.0251346))"
23,0.012766916,"(((((A + (A + (0.071297504 / A))) + (-0.212975 / (B - 0.071297504))) - -0.53014165) - B) / ((4.386291 + A) * 1.0251346))"
